id,Beer_Name,Brew_Factory_Name,Style,ABV
616,Dirty Bucket Dirty Amber Ale,Dirty Bucket Brewing Company,Amber Ale,5.80
617,Southport Fairfield Red,Southport Brewing Company,Amber Ale,
618,Vault Penn Harvest Ale,Vault Brewing Company,Amber Ale,5
619,Thorn Street Red Headed Hop Child,Thorn Street Brewery,Amber Ale,6.80
620,American Highstick,American Brewing Company,American Strong Ale,8
621,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20
622,Suginoya Amber Ale,Suginoya Beer / Hamachi Shuzo,Amber Ale,5
623,Oak Creek King Crimson Imperial Red Ale,Oak Creek Brewing Co. .,American Strong Ale,9.50
624,Mohawk Easter Rocket Red IPA,SlottskÃ $ llans Bryggeri,India Pale Ale &#40; IPA &#41;,6.70
625,La Petrognola Ambrata al Farro,La Petrognola / Rio Maggio,Specialty Grain,5.50
626,Alandale Unfiltered Wheat,Kirkwood Station Brewing Company,German Hefeweizen,
627,Pizza Port Team Cretins Hoppy Amber Ale,Pizza Port &#40; Ocean Beach &#41;,Amber Ale,4.50
628,21st Amendment Big Hoppy Red Bird,21st Amendment Brewery,Amber Ale,7.10
629,Black Kettle Northwest Red Ale,Black Kettle Brewing,Amber Ale,6
630,Modernist Stockholm Syndrome,Modernist Brewery,Amber Ale,6
631,Blue Heron Amber_s Folly Amber Ale,Blue Heron Brewing Company,Amber Ale,
632,Brewery Terra Firma Manitou Island Hopper,Brewery Terra Firma,Amber Ale,5.70
633,Big River Grille Disney World Bobs Amber Ale,Big River Grille & Brewing Works Lake Buena Vista &#40; CraftWorks &#41;,Amber Ale,
634,Fort Collins Hometown Helles,Fort Collins Brewery,Heller Bock,5.30
635,Slanted Rock Iron Butt Red Ale,Slanted Rock Brewing Company,Amber Ale,5.80
636,All Inn Ruby Amber Ale,All Inn Brewing Co. .,Amber Ale,4.60
637,Fulton MPLS Mild - Charred Cherrywood,Fulton Beer Company,Mild Ale,4
638,Conquest Garnet Red Ale,Conquest Brewing Company,Amber Ale,
639,Adnams Wild Hop Amber Beer,Adnams,Amber Ale,4.80
640,Freedom_s Edge Horizon Amber,Freedom_s Edge Brewing,Amber Ale,5
641,Iron Horse Fresh Hop Imperial Red Ale,Iron Horse Brewery,American Strong Ale,
642,Walker Brown Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,5.50
643,Abbeydale Resurrection,Abbeydale,Premium Bitter/ESB,4.60
644,Armadillo Amber Ale,Hale_s Ales,Amber Ale,
645,Desert Edge Anniversary Amber,Desert Edge Brewery,Amber Ale,4
646,406 Imperial Red Ale,406 Brewing Company,American Strong Ale,9.20
647,Breakside Hoppy Amber,Breakside Brewery,Amber Ale,4.70
648,Millersburg Bag_s Best Red Ale,Millersburg Brewing,Amber Ale,6.50
649,Triptych Imperial Red XPA,Triptych Brewing Company,India Pale Ale &#40; IPA &#41;,8.50
650,Amager Red Nitro,Amager Bryghus,American Strong Ale,8.50
651,Apeldoornse Bierbrouwerij De Vlijt Veluwse Schavuyt Amber,Apeldoornse Bierbrouwerij De Vlijt,Amber Ale,6.50
652,Acoustic Rock Steady Red Cider,Acoustic Brewing Company,Cider,6
653,Martin House The Imperial Texan,Martin House Brewing Company,American Strong Ale,9
654,Bull Falls Irish Red Ale,Bull Falls Brewery,Irish Ale,6.10
655,Against the Grain French Oak Aged Gnag Reflex,Against the Grain Brewery,Sour/Wild Ale,6
656,4 Hands Cuvee Diable,4 Hands Brewing Company,Saison,5.80
657,Outlaw The Gambler American Amber,Outlaw Brewing Company &#40; MT &#41;,Amber Ale,5.60
658,Northport Morazon Amber,Northport Brewing,Amber Ale,5.50
659,Phantom Imperial Red Rye,Phantom Ales,American Strong Ale,7.40
660,Town Hall Blackberry Crimson Oat,Minneapolis Town Hall Brewery,Fruit Beer,6
661,Escape &#40; CA &#41; Road Rage Imperial Red,Escape Craft Brewery,American Strong Ale,10
662,1516 Pub & Brewery Red Zeppelin,1516 Pub & Brewery,Amber Ale,4.70
663,Tin Roof Perfect Tin Amber,Tin Roof Brewing Company,Amber Ale,4.50
664,Rivertowne Red Head Red,Rivertowne Pour House,Amber Ale,5.30
665,Daves BrewFarm LEAP Beer,Daves BrewFarm,American Strong Ale,9.10
666,Angelic Shakedown Brown,Angelic Brewing Company,Brown Ale,
667,Akishika Junmai Gingo Namazake,Akishika Shuzo,SakÃ © - NamasakÃ ©,15.50
668,BTU Rusty_s Red Ale,BTU Brewing,American Pale Ale,5.80
669,Het Uiltje Velduil,Jopen,Session IPA,4.50
670,Wiltses Paul Bunyan Ale,Wiltses Brew Pub,English Pale Ale,
671,Alcazar Windjammer IPA,Alcazar,American Pale Ale,6
672,7 Barrios Amber,Cerveceria Lesnez,Amber Ale,5.10
673,Claim Jumper Original Red Ale,Maritime Pacific Brewing Co. .,Amber Ale,
674,Marshall Wharf Little Max Red Ale,Marshall Wharf Brewing Company,Amber Ale,4.50
675,Aldus Olde Factory Amber IPA,Aldus Brewing Company,India Pale Ale &#40; IPA &#41;,7
676,Anchorage Time Waits For No One,Anchorage Brewing Company,Imperial Stout,14.60
677,Shiretown Siren_s T_ale,Shiretown Brewing,Amber Ale,5
678,La Cumbre La Roja Grande,La Cumbre Brewing Company,American Strong Ale,8.10
679,Sierra Andina Alpamayo Amber Ale,Sierra Andina,Amber Ale,5.80
680,Highland Gaelic Ale,Highland Brewing Company,Amber Ale,5.80
681,Goose Eye Autumn Ale,Goose Eye,Golden Ale/Blond Ale,4.20
682,De Lepelaer Gerstebrij Jubilee Amber,Brouwerij de Lepelaer,Amber Ale,7
683,4 Pines Keller Door West Coast Red Rye IPA,4 Pines Brewing Company,India Pale Ale &#40; IPA &#41;,7.30
684,Boxing Bear Ambear Ale,Boxing Bear Brewing Company,Amber Ale,5.26
685,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90
686,Bend Axe Head Red Ale,Bend Brewing Company,Amber Ale,
687,Artisan_s Hoppy Amber Ale,Artisan_s Brewery and Italian Grill,Amber Ale,5.20
688,Port Aransas Mustang Amber Ale,Port Aransas Brewing Company,Amber Ale,
689,Able Ebenezer Tabula Rasa,Able Ebenezer Brewing Company,Amber Ale,7.50
690,Pizza Port Big Dumb Animal,Pizza Port &#40; Carlsbad &#41;,American Strong Ale,8.50
691,Peak Organic Amber Ale,Shipyard Brewing Company,Amber Ale,4.80
692,2nd Story Hoppy New Year Amber Ale,2nd Story Brewing Company,Amber Ale,5.70
693,Marks & Spencer Greenwich Red Ale,Meantime &#40; SAB Miller &#41;,Amber Ale,4
694,North Fork Son of Frog,North Fork Brewery/Pizza/Beer Shrine,American Strong Ale,6.20
695,Eventide Red-Headed Haley,Eventide Brewing,Amber Ale,5.30
696,Oceanside Ale Works San Luis Rey Red Ale,Oceanside Ale Works,Amber Ale,5.40
697,Against the Grain Truffle Shuffle,Against the Grain Brewery,Spice/Herb/Vegetable,6.80
698,Rusty Truck Stupiphany Imperial Red Ale,Rusty Truck Brewing / Roadhouse 101,American Strong Ale,8
699,Birdland Kewlerskald,Birdland Brewing Company,Amber Ale,6
700,Alattomos _ rdÃ ¶ g VÃ ¶ rÃ ¶ s SÃ ¶ r - Red Beer,JÃ $ ger SÃ ¶ rf & # 337zde - Akpedo Kft . ( OrgovÃ ¡ ny ),Amber Lager/Vienna,5
701,18th Street Rise of the Phoenix,18th Street Brewery,India Pale Ale &#40; IPA &#41;,7.10
702,Brentwood Project Venus Sugar & Spice,Brentwood,Golden Ale/Blond Ale,4.60
703,La Verne Dead Leprechaun Irish Red,La Verne Brewing Co. .,Amber Ale,5.50
704,Bacchus / Burrow Bloodhound Blood Red IPA,Bacchus Brewing Company &#40; Australia &#41;,India Pale Ale &#40; IPA &#41;,6
705,Firehouse Full Tilt Bozo,Firehouse Brewing Company &#40; SD &#41;,American Strong Ale,7.20
706,10 Barrel Northwest Red,10 Barrel Brewing &#40; AB InBev &#41;,Amber Ale,6.10
707,Caledonian Double Amber,Caledonian &#40; Heineken UK &#41;,Bitter,4.60
708,Quantum &#40; CA &#41; Uncertainty Red,Quantum Brewing &#40; CA &#41;,Amber Ale,6.69
709,Bull & Barrel Session Style - Amber Ale,Bull & Barrel Brew Pub,Amber Ale,4.70
710,Kirishima Kirinokura Amber,Kirishima Shuzo Kirinokura Brewery,Amber Ale,5
711,Alt Platz Sedona Bronze Ale,Alt Platz Brewing Company,Amber Ale,5.75
712,Dempseys Valkyrie Red,Dempseys Brewery,Amber Ale,5.50
713,Burro de Sancho Roja,Daviyun / Sagra,Amber Ale,5
714,Alligator Chocolate Orange Belgian Ale,Alligator Brewing Company &#40; aka : Tall Paul Brew House &#41;,Belgian Ale,6.20
715,Beachwood Knucklehead Red,Beachwood BBQ & Brewing,Amber Ale,5.70
716,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90
717,Country Boy Our Daily Red,Country Boy Brewing,Amber Ale,7
718,Keweenaw Red Jacket Amber Ale,Keweenaw Brewing Company,Amber Ale,5.10
719,Cellar Lucky Enough Amber,Cellar Brewing Company,Amber Ale,7
720,Platt Park Astronaut Amber,Platt Park Brewing Company,Amber Ale,5.10
721,Altstadthof Rotbier,Hausbrauerei Altstadthof,Amber Lager/Vienna,5.20
722,Alameda East Village Amber,Alameda Brewing Co. .,Altbier,5.20
723,MashCraft Ancho Annie,MashCraft Brewing,Spice/Herb/Vegetable,5.60
724,21st Amendment Holiday Spiced Ale,21st Amendment Brewery,Spice/Herb/Vegetable,7
725,Sleeping Lady Forty Niner Amber Ale,Sleeping Lady Brewing Co. .,Amber Ale,5.20
726,1010 Red Nose Reinbeer,1010 Brewing &#40; Sale St Brewery &#41;,Amber Ale,4.50
727,21st Amendment Red Giant,21st Amendment Brewery,American Strong Ale,13
728,Amber Po Godzinach : India Pale Lager,Browar Amber,Premium Lager,4.80
729,&#268; eskÃ 1/2 Rudolec Red Ale 13Â °,&#268; eskÃ 1/2 Rudolec,Amber Ale,
730,MadTree Bourbon Barrel Aged Happy Amber,MadTree Brewing Company,Amber Ale,6
731,Central City Red Racer Copper Ale,Central City Brewers + Distillers,Amber Ale,5
732,Osgood Oakestown,Osgood Brewing,Amber Ale,5.50
733,Allendale End 34 Red Columbus,Allendale,Amber Ale,6
734,Pints Rehab Red Amber,Pints Brewery & Sports Bar on the Colorado Belle,Amber Ale,5.40
735,NoDa Guildy as Sin,NoDa Brewing Company,Amber Ale,6.50
736,Charleston Brewing White Elephant Red Ale,Charleston Brewing Company &#40; WV &#41;,Amber Ale,5.80
737,La Quinta Brewing Co. . Heatwave Red Ale,La Quinta Brewing Co. .,Amber Ale,6
738,Big Block Flathead Red,Big Block Brewing,Irish Ale,6.50
739,Founders Backstage Series # 13 : reDANKulous Imperial Red IPA,Founders Brewing Company,Imperial IPA,9.50
740,Northgate Winter Soldier,Northgate Brewing,Amber Ale,6
741,Toccalmatto Delta Red Disorder,Birrificio Toccalmatto,Imperial IPA,8.80
742,Kalamazoo Royal Amber Ale,Bells Brewery,Amber Ale,
743,Berwick Arden_s Amber,Berwick Brewing Company,Amber Ale,4.90
744,Bootjesbier,Antwerpse Brouw Compagnie,Amber Ale,7
745,Ukiah 10 Guilder,Ukiah Brewing Company,Amber Ale,5
746,Beer Works Crimson Clover Irish Red,Beer Works,Irish Ale,5
747,Boulder Beer Sundance Amber Ale,Boulder Beer Company,Amber Ale,4.85
748,Ruby River Ruby Red Ale,Ruby River Steakhouse and Brewery,Amber Ale,4
749,El Toro Black Raspberry Ale,El Toro Brewing Co. .,Fruit Beer,4
750,Mare Nostrum Prestige,Mare Nostrum Brasseur du Sud,Amber Ale,6
751,Appalachian Artie_s Amber Ale,Appalachian Brewing Company &#40; PA &#41;,Amber Ale,
752,Denver Beer American Rojo,Denver Beer Company,Premium Bitter/ESB,
753,Goldspot Pantalones Rojo Red IPA,Goldspot Brewing Company,India Pale Ale &#40; IPA &#41;,5.50
754,Wye Valley Dorothy Goodbody_s Country Ale,Wye Valley,English Strong Ale,6
755,Destihl Roadblock British Red Ale,Destihl Brewery,Irish Ale,5
756,Brodies West End Best &#40; 4.0 &#41;,Brodies,Bitter,4
757,Firetrucker 2 Alarm Red,Firetrucker Brewery,American Strong Ale,8
758,Corralitos Richter Red Ale,Corralitos Brewing Company,Amber Ale,6.60
759,Boulder Dam Reclamation Amber,Boulder Dam Brewing Co. .,Amber Ale,
760,AleWerks Winter Hop,AleWerks Brewing Company,American Strong Ale,9.30
761,Brains Craft Brewery Simply Red,Brains,Amber Ale,4
762,Crested Butte White Buffalo Peace Ale,Crested Butte Brewing,Amber Ale,
763,MobCraft Barrel Aged Rabbits Bounty,House of Brews,American Strong Ale,10.50
764,Veracious Owd Boreas Imperial Red,Veracious Brewing Company,American Strong Ale,8.90
765,Big Axe Red Ale,Big Axe Brewing Company,Amber Ale,6.80
766,3 Daughters Orange Cream Ale,3 Daughters Brewing Company,Cream Ale,5.70
767,Court Avenue Dorchester Amber,Court Avenue Brewing Company,Amber Ale,
768,Alandale Octoberfest,Kirkwood Station Brewing Company,Oktoberfest/M Ã $ rzen,
769,Back Alley Fire Hydrant Red Ale,Back Alley Brewery,Amber Ale,6.20
770,Iron Horse Brewlette # 3,Iron Horse Brewery,Stout,
771,Brassneck Counter Cultured,Brassneck Brewery,India Pale Ale &#40; IPA &#41;,7
772,Infusion Butcher Block Brown Ale,Infusion Brewing Company,Brown Ale,
773,Thr3e Wise Men Hoggy Style Amber,Thr3e Wise Men,Belgian Ale,5
774,Free State Thunderhead Pale Ale,Free State Brewing Company,American Pale Ale,6.40
775,Four Saints Potter_s Clay Amber Ale,Four Saints Brewing Company,Amber Ale,5.70
776,Planetary Brewing Heliotropic Amber,Planetary Brewing Company,Amber Ale,5.10
777,Booze Brothers Green Eyed Amber,Booze Brothers Brewing Co,Amber Ale,5.90
778,Hobbs Tavern WakeWolfe Amber,Hobbs Tavern & Brewing Company,Amber Ale,4
779,Svaty Norbert MasopustnÃ 16Â ° Naku &#345; ovanÃ 1/2 Porter,KlÃ ¡ _ ternÃ Pivovar Strahov,Smoked,6.30
780,Fort Barcelona Amber Ale,LlÃºpols i Llevats &#40; Glops &#41;,Amber Ale,5.30
781,Catskill Devil_s Path IPA,Catskill Brewery,India Pale Ale &#40; IPA &#41;,7.50
782,Main Street Amber Ale with Ella & Galaxy,Main Street Brewing &#40; BC &#41;,Amber Ale,6.10
783,Noble Ale Works The Irisher,Noble Ale Works,Irish Ale,4.60
784,Sockeye Crooked Trail Harvest Ale,Sockeye Brewing,Amber Ale,6
785,Empirical Atomic Amber : Honey Hypothesis,Empirical Brewery,Amber Ale,6.70
786,Su_i &#269; Ã ¡ k TmavÃ ¡ Emilka,Pivovar U _ velch &#367;,Dunkel/Tmav Ã 1/2,5.20
787,Blue Owl Van Dayum &#033; Sour Red Ale,Blue Owl Brewing,Sour Red/Brown,6.10
788,Molly Pitcher Imperial Red,Molly Pitcher Brewing Company,American Strong Ale,6.50
789,Lake Norman Outboard Amber Ale,Lake Norman Brewing Company,Amber Ale,5.10
790,Mike Hess Station Copper Ale,Mike Hess Brewing Company,Amber Ale,6.10
791,Sun Up Armadillo Red Ale,Sun Up Brewing Company &#40; Sonora Brewhouse &#41;,Amber Ale,5.20
792,Equinox Borealis Winter Ale,Equinox Brewing,Belgian Ale,7
793,Prohibition Pig Dream of the 90s,Prohibition Pig,Amber Ale,
794,Earth Eagle Chillaxico,Earth Eagle Brewings,Traditional Ale,5.80
795,Basqueland Arraun Amber Ale,Mateo & BernabÃ ©,Amber Ale,5
796,16 Mile Mile Stones Batch # 1,16 Mile Brewing Company,Session IPA,4.70
797,Brew By Numbers 16/03 Red Ale - Mosaic & Chinook,Brew By Numbers,Amber Ale,5.50
798,Thunder Canyon Morning Star Imperial Red,Thunder Canyon Brewery,American Strong Ale,10.10
799,Sisyphus Hoppy Amber,Sisyphus Brewing,Amber Ale,6.20
800,Leavenworth Nosferatu Red Ale,Fish Brewing Company/Leavenworth Beers,English Strong Ale,5.50
801,1516 Amarillo Amber Ale,1516 Brewing Company,Amber Ale,
802,Baias Ambar,Baias Garagardotegia,Amber Ale,5.50
803,Black Woods Forest Ale,August Schell Brewing Company,Amber Ale,
804,Fairhope Rescue Dog Red Ale,Fairhope Brewing Company,Amber Ale,7.20
805,Peak Organic The Maple Collaboration,Shipyard Brewing Company,Amber Ale,6.70
806,8 Wired C4 Double Coffee Brown Ale,Renaissance Brewing,Brown Ale,8
807,Exit # 005 Amber Ale,Cavalier Beer,Amber Ale,5.60
808,8 Wired Wild Feijoa Sour Ale 2013,Renaissance Brewing,Sour/Wild Ale,9.50
809,La Virgen Jamonera,Cervezas La Virgen,Amber Ale,5
810,21st Amendment Poor Richards Ale,21st Amendment Brewery,Traditional Ale,7
811,Horse & Dragon Flagstone Copper Ale,Horse & Dragon Brewing Company,Amber Ale,
812,Big Bear Lake Sidewinder Red Ale,Big Bear Lake Brewing Company,Amber Ale,8.50
813,Fish Tale Organic Amber Ale,Fish Brewing Company/Leavenworth Beers,Amber Ale,5
814,_ irv &#279; nos Dundulio Pilstoma Gira,_ irv &#279; nos Bravoras &#40; Dundulis &#41;,Low Alcohol,0.50
815,Rock Bottom Milwaukee Badger Stripe Ale,Rock Bottom Milwaukee,Amber Ale,5.30
816,Okkara Rinkusteinur,Okkara,Amber Ale,5.80
817,Acoustic Ales Rock Out With Your Vienna Out,Acoustic Ales Brewing Experiment,Amber Lager/Vienna,6
818,12th Abbey Altered Amber,12th Abbey,Amber Ale,4.20
819,5 Seasons Westside Rosebud_s Milk Stout,5 Seasons Westside,Sweet Stout,
820,Marks & Spencer Lowland Glen Amber,Harviestoun,Amber Ale,4.50
821,Albatros Bira Pilsener,TÃ 1/4 rk Tuborg,Pilsener,5
822,Blue Blood Vanessa_s Wheat,Blue Blood Brewing Company,Wheat Ale,
823,&#40; 512 &#41; Cabernet Barrel Aged Three,&#40; 512 &#41; Brewing Company,Abbey Tripel,9.50
824,Our Mutual Friend Brett and Barreled Chinook Red Ale,Our Mutual Friend Malt & Brew,American Strong Ale,8
825,Troubled Monk Accidental Amber,Troubled Monk,Amber Ale,
826,Michelob AmberBock,Anheuser-Busch InBev,Amber Lager/Vienna,5.20
827,Metropolitan Shezmu Red Lager,Metropolitan Brewing,Amber Lager/Vienna,5.50
828,Northwest Peaks Double Redoubt Red,Northwest Peaks Brewery,American Strong Ale,8.50
829,Boneyard Diablo Rojo,Boneyard Beer Company,Amber Ale,7
830,Brickstone Irish Red Ale,Brickstone Restaurant & Brewery,Irish Ale,
831,Wolf Hollow Amber,Wolf Hollow Brewing Company,Amber Ale,5
832,Georgia Tea Party,Eagle Creek Brewing Company,Amber Ale,
833,508 Dorado Pampeana,508 Gastrobrewery,Golden Ale/Blond Ale,
834,Agua Mala Marea Roja,CervecerÃa Agua Mala,Amber Ale,5.24
835,Sawtooth False Summit Amber Ale,Sawtooth Brewery,Amber Ale,5.70
836,Uncle Bear_s Head To Tale Amber,Uncle Bear_s Brewery,Amber Ale,5.60
837,Prohibition Pig Rufous,Prohibition Pig,Amber Ale,5.50
838,Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged,Cigar City Brewing,Irish Ale,5
839,Dugges Juldricka,Dugges Ale & Porterbryggeri,Amber Ale,4
840,Dry City MiracAle Amber,Dry City Brew Works,Amber Ale,5.20
841,Atlas Pterodactyl Deathscream Imperial Red IPA,Atlas Brewing Company,Imperial IPA,
842,Legends of the Bay Champlain 1615-2015,Midland Beer Works,Amber Ale,5
843,Ornery Occoquan Oats,Ornery Beer Company Public House,Amber Ale,5.80
844,Cartel Indiana Nights Imperial American Amber,Brew Link Brewing,Amber Ale,7
845,Hill Farmstead Amarillo Single Hop Pale Ale,Hill Farmstead Brewery,American Pale Ale,5.20
846,18th Street Barrel Aged Hunter,18th Street Brewery,Sweet Stout,9.50
847,Courtyard Nova Convention,The Courtyard Brewery,Amber Ale,
848,Pints Pub Phonebox Amber,Pints Pub Brewery & Freehouse,Amber Ale,
849,Chatham Amber,Chatham Brewing,Amber Ale,
850,Grimm Brothers Ungrateful Son,Grimm Brothers Brewhouse,Belgian Ale,6
851,Padre Island Tailing Red Amber,Padre Island Brewing Company,Amber Ale,
852,Hereford & Hops Cleary Red,Hereford & Hops Restaurant & Brew Pub,Irish Ale,3.90
853,S : t Eriks / Samuel Adams Transatlantic Belgian Red Strong Ale,S : t Eriks Bryggeri &#40; Galatea &#41;,Belgian Strong Ale,7.30
854,Bifferhaus Wacko Swami Amber Ale,Bifferhaus Brewing Company,American Strong Ale,9.50
855,Inlet Brewing Monk in the Trunk Organic Amber Ale,Thomas Creek Brewery,Amber Ale,5.50
856,Dry Dock Nautilus American Red,Dry Dock Brewing Co. .,Amber Ale,5.60
857,Aotearoa Mata Brown-Boy,Aotearoa Breweries,Amber Ale,5
858,Twains Blushing Ape Oatmeal India Red,Twains Billiards and Tap,Amber Ale,6
859,Bills Rudy_s Red,Bills Tavern and Brewhouse,Irish Ale,
860,Asheville / Thirsty Monk Sister Bad Habit,Asheville Brewing Company,Amber Ale,5.60
861,Cigar City / DuClaw Impey Barbicane_s Moongun,Cigar City Brewing,Amber Ale,3.90
862,Flytrap Rehder_s Red Ale,Flytrap Brewing,Amber Ale,5.40
863,AmberWeiss Wheat Beer,Kaluzhskaya &#40; Moskva-Efes &#41;,German Hefeweizen,5.30
864,Mash Amber,Mash Brewery &#40; Hampshire &#41;,Bitter,4.30
865,10 Barrel Crosby Farms Harvest Fresh Hop Ale,10 Barrel Brewing &#40; AB InBev &#41;,India Pale Ale &#40; IPA &#41;,5.50
866,Bucks County Munich Autumn,Bucks County Brewery,Oktoberfest/M Ã $ rzen,6.50
867,7venth Sun Ruby Red Overhead IPA,7venth Sun Brewery,India Pale Ale &#40; IPA &#41;,6.30
868,SanTan Epicenter Amber Ale,SanTan Brewing Company,Amber Ale,5.50
869,Paw Paw Gus Meister Amber Ale,Paw Paw Microbrewery,Amber Ale,5.10
870,BandWagon Ezra Red Ale,BandWagon Brewpub,Irish Ale,5
871,Broad Ripple Firecracker Red Ale,Broad Ripple Brewing Co. .,Amber Ale,5.50
872,Big Spruce Ready Yer Knot ... Regatta Red Ale,Big Spruce Brewing,Amber Ale,
873,Gun Hill Redcoat Resistance,Gun Hill Brewing Company,Amber Ale,5.40
874,Little Apple Rileys Red Ale,Little Apple Brewing Co. .,Amber Ale,5.20
875,Sherwood Production Line Red,Sherwood Brewing Company,Amber Ale,5.25
876,MÃ ² R Scode &#033;,MÃ ² R Brewing,Bitter,4
877,Illawarra Rust Amber Ale,Illawarra Brewing Company,Amber Ale,5.20
878,_ mog_ala Winter Ale,Joalda,American Strong Ale,7.50
879,Vizir Lucky Luke Sexy Ale,Pivovarna Vizir,Amber Ale,4
880,Bethlehem Brew Works Rockwell Red Ale,Fegley_s Brew Works,Amber Ale,5.40
881,Sick N Twisted Naughty Redhead Imperial Red Ale,Sick N Twisted Brewing Company,Amber Ale,8
882,Baerlic Arctos,Baerlic Brewing,American Strong Ale,6.50
883,Fresh Chios Beer / FrÃ © skia MpÃ 1/2 ra ChÃou &#40; House Ale &#41;,Chios Microbrewery,Golden Ale/Blond Ale,4.90
884,Swamp Head Part-Time Lubber,Swamp Head Brewery,Amber Ale,4.50
885,Blue Canoe Joe_s Electric Bill,Blue Canoe Brewery,Amber Ale,5.50
886,Manitou Tall Rev Red Ale,Manitou Brewing Company,Amber Ale,6.70
887,Angry Minnow Redhorse Ale,Angry Minnow,Irish Ale,
888,8 Wired Extra Pils,Renaissance Brewing,Pilsener,5
889,Colleen_s Finest Amber Ale,Hog_s Head Brewing Company,Amber Ale,5
890,Bonneville Brewery Antelope Amber Ale,Bonneville Brewery Company,Amber Ale,4
891,Portsmouth Amber Dandy,Portsmouth Brewery,Amber Ale,6.20
892,Backpocket First Runnings,Backpocket Brewing,Imperial Stout,11
893,I & I Orange Flower Amber,I & I Brewing,Amber Ale,6.10
894,&#40; 512 &#41; Mole Cream Stout,&#40; 512 &#41; Brewing Company,Sweet Stout,
895,Able Ebenezer Auburn Ale,Able Ebenezer Brewing Company,Amber Ale,4.50
896,10 Barrel Big Black Stout,10 Barrel Brewing &#40; AB InBev &#41;,Sweet Stout,6.20
897,Borderlands Santa Rita Amber Ale,Borderlands Brewing Company,Amber Ale,5.60
898,Elitch Gardens Fire Roasted Amber,Wynkoop Brewing Company,Spice/Herb/Vegetable,5.20
899,Bad Beat Ante Up Amber Ale,Bad Beat Brewing,Amber Ale,5.70
900,Buffalo Bayou Cedar Aged 1836,Buffalo Bayou Brewing,Premium Bitter/ESB,5.90
901,FOTM Hoosier Amber,Fire on the Mountain Brewing Co. .,Amber Ale,5.30
902,Momentum Brewhouse Knee Highs,Momentum Brewhouse,American Strong Ale,9.50
903,Alpha State Red Simcoe,Alpha State,India Pale Ale &#40; IPA &#41;,7.50
904,21st Amendment Larrys Last Call Ale,21st Amendment Brewery,Amber Ale,
905,BrainDead Red,BrainDead Brewing,Amber Ale,6
906,Lompoc Saison d_Evolution,Lompoc Brewing,Saison,5.80
907,Milwaukee Ale House Louies Resurrection,Milwaukee Ale House,Amber Ale,7.50
908,McMinnville Malthouse Scaredman Cream Ale,McMinnville Malthouse,Cream Ale,5
909,Heartland Belgian Red Rooster,Greenpoint Beer Works,Amber Ale,5.50
910,Rocky Mountain Spirit Hill Amber,Rocky Mountain Brewery,Amber Ale,
911,Rock Bottom Arlington Oatmeal Amber Ale,Rock Bottom Arlington,Amber Ale,5.30
912,Rhinelander Bad Hare Red Ale,Minhas Craft Brewery,Amber Ale,5.50
913,Rock Bottom Des Moines Mud in Your Eye Red,Rock Bottom Des Moines,Amber Ale,
914,Avalanche Treasure Mountain Pale Ale,Avalanche Brewing Company,American Pale Ale,5.50
915,Pizza Boy Simcoe SamuRYE,Pizza Boy Brewing,Specialty Grain,6.80
916,Slow Boat Knot 51 Red Ale,Slow Boat Brewery,Amber Ale,5
917,Rock Bottom Minneapolis Mary Jane Amber Ale,Rock Bottom Minneapolis,Amber Ale,5.70
918,1912 Hoppy Amber,1912 Brewing Company,Amber Ale,6.20
919,Pinglehead / Brewer_s Pizza Artisans Blobde Ale,Pinglehead Brewing Co. / Brewer_s Pizza,Golden Ale/Blond Ale,6.80
920,Big Axe Amber Ale,Big Axe Brewing Company,Amber Ale,5
921,Flytrap Belgian Blonde,Flytrap Brewing,Belgian Ale,5.70
922,Suomenlinnan Coyet Ale,Suomenlinnan Panimo,Bitter,4.50
923,Backyard Brew Pub Rocking Red Chair,Joseph James Brewing Company,Amber Ale,
924,Secret Engine Das Saftige,Rocky Point Artisan Brewers,Amber Lager/Vienna,6.20
925,Crown City Arroyo Amber Ale,Crown City Brewery,Amber Ale,
926,Bruuveri Coral Reef Pretty Baby,Panimoravintola Bruuveri,India Pale Ale &#40; IPA &#41;,5.50
927,3 Rivers Delta Dark,3 Rivers,Mild Ale,5
928,Blackstone Sweet Tooth,Blackstone Restaurant & Brewery,Cream Ale,
929,Anderson Valley Boont Barl Bourbon Barrel Amber Ale,Anderson Valley Brewing Company,Amber Ale,6
930,Shoreline Region Rat Red Ale,Shoreline Brewery,Irish Ale,
931,Broadoak Amber Jack Cider,Broadoak Cider,Cider,7.50
932,Bemidji Harvest Red Ale,Bemidji Brewing Company,Amber Ale,5.60
933,_ t IJ Columbus,Brouwerij _ t IJ,Belgian Strong Ale,9
934,Bin SaskAle Prairie Grass Ale,Great Western Brewing &#40; Canadian Brewing &#41;,Pale Lager,5
935,Mad Beach #amberale,Mad Beach Craft Brewing Company,Amber Ale,5.70
936,Brew Brothers Copperopolis,Brew Brothers &#40; Reno El Dorado Casino &#41;,Amber Ale,
