id,Beer_Name,Brew_Factory_Name,Style,ABV
609,Redhawk Ale,Rockyard Brewing,American Amber / Red Ale,5.00
610,Ora,Lucid Brewing,American Amber / Red Ale,6.50
611,Depot Express Amber Ale,Depot Street Brewing,American Amber / Red Ale,5.60
612,Attila The Honey,Mt. Begbie Brewing Co. .,American Amber / Red Ale,5.00
613,Beer Of The Dragon,Beachwood BBQ & Brewing,American Amber / Red Ale,9.10
614,Railway City Iron Spike - Copper Ale,Railway City Brewing Company,American Amber / Red Ale,4.40
615,Clancy 's Amber,Moosehead Breweries Ltd. .,American Amber / Red Ale,5.00
616,Station No. 1,El Segundo Brewing Company,American Amber / Red Ale,6.70
617,Hellion,TRVE Brewing Co. .,American Amber / Red Ale,3.50
618,Red Rock Secret,Arizona Wilderness Brewing Co,American Amber / Red Ale,6.00
619,Tenaya Creek Red Ryder,Tenaya Creek Brewery,American Amber / Red Ale,6.20
620,Montpelier 's Best Ambition Ale,Devils Backbone Brewing Company,American Amber / Red Ale,5.40
621,Allgood Amber Ale,Bull & Bush Brewery,American Amber / Red Ale,6.00
622,Heart O ' Texas,Four Corners Brewing Company,American Amber / Red Ale,6.20
623,Eleanor 's Rye,The LAB ( Lexington Avenue Brewery ),American Amber / Red Ale,7.70
624,Hopulus Localus Harvest Ale,Naked Dove Brewing Company,American Amber / Red Ale,6.00
625,1609 Amber Ale,Coney Island Brewing Company,American Amber / Red Ale,4.80
626,Vlimeuse,Micro-brasserie Saint-Arnould,American Amber / Red Ale,6.20
627,Glutenberg Rousse,Brasseurs Sans Gluten,American Amber / Red Ale,5.00
628,Really Nelson India Red Ale,Jackie O 's Pub & Brewery,American Amber / Red Ale,7.00
629,Wrath,St. Francis Brewery & Restaurant,American Amber / Red Ale,6.40
630,Blue Point Crop Circle Extraterrestri - Ale Amber Ale,Blue Point Brewing Company,American Amber / Red Ale,6.70
631,Imper Ale Ambrata,Birra Tenute Collesi SRL,American Amber / Red Ale,7.50
632,Moat Matilda 's Red Rage,Moat Mountain Smoke House & Brewing Co. .,American Amber / Red Ale,5.40
633,Brunehaut Tradition AmbrÃ © e,Brasserie De Brunehaut,American Amber / Red Ale,6.50
634,Paint The Town Red,Hoptown Brewing Company,American Amber / Red Ale,5.50
635,Runaway Red,Ice Harbor Brewing Company,American Amber / Red Ale,5.70
636,Ittinger Original KlosterbrÃ $ u,Original Ittinger KlosterbrÃ $ u,American Amber / Red Ale,5.80
637,Cedar Point Amber Ale,Geneva Lake Brewing Company,American Amber / Red Ale,5.00
638,Ellis Island Amber,Ellis Island Casino & Brewery,American Amber / Red Ale,6.00
639,Eric The Red,Odd13 Brewing,American Amber / Red Ale,7.07
640,CB 's St. Patricks Ale,CB Craft Brewers,American Amber / Red Ale,5.20
641,Dry Hop Red,Caldera Brewing Company,American Amber / Red Ale,5.70
642,Sun Up Amber Ale,Sun Up Brewing Co. .,American Amber / Red Ale,4.80
643,Alpha Dog,BrewDog,American Amber / Red Ale,4.50
644,Cheers Norm 's Amber Ale,World Brews,American Amber / Red Ale,
645,Strawn Amber,Strawn Brewing Company,American Amber / Red Ale,6.00
646,Oak Aged Imperial Red ( Venture Series ),Madhouse Brewing Company,American Amber / Red Ale,8.50
647,Big Red Wibby,Iron Hill Brewery & Restaurant,American Amber / Red Ale,8.70
648,Copper Creek Amber Ale,Silver Gulch Brewing and Bottling Co. .,American Amber / Red Ale,4.80
649,Auburn,The Able Ebenezer Brewing Company,American Amber / Red Ale,4.50
650,Fade To Red,Southbound Brewing Company,American Amber / Red Ale,7.60
651,Moonrise Amber,Firefly Hollow Brewing Co. .,American Amber / Red Ale,6.30
652,Red Dread Imperial Red Ale,Bitter Root Brewing,American Amber / Red Ale,8.24
653,Master Splinter ( Black Tie Series ),Monday Night Brewing,American Amber / Red Ale,9.00
654,O'Connor 's Irish Red Ale,Wormtown Brewery,American Amber / Red Ale,5.00
655,Rhino Chaser Imperial Red Ale,Pizza Port Solana Beach,American Amber / Red Ale,9.50
656,Noble Alpha Red,Noble Ale Works,American Amber / Red Ale,7.20
657,Springdale Amber Ale,Zion Canyon Brewing Company,American Amber / Red Ale,4.00
658,Swing Span Amber,Granville Island Brewery,American Amber / Red Ale,4.50
659,Leatherhead Red Mid-American Red Ale,Thunderhead Brewing Company,American Amber / Red Ale,5.20
660,Fallin ' Oats,Hopothesis Beer Company,American Amber / Red Ale,5.50
661,Phantasm,Ale Asylum,American Amber / Red Ale,7.80
662,Ravnsborg RÃ ¸ d,NÃ ¸ rrebro Bryghus,American Amber / Red Ale,5.50
663,Pescado Rojo Grande,Flying Fish Brewing Company,American Amber / Red Ale,9.00
664,Fallen Timbers Red Ale,Maumee Bay Brewing Company,American Amber / Red Ale,
665,Kuhnhenn Red Run Red Ale,Kuhnhenn Brewing Company,American Amber / Red Ale,6.00
666,Boot Tread,Brouwerij Martens NV,American Amber / Red Ale,5.00
667,Breakside Alan From The Wood,Breakside Brewery,American Amber / Red Ale,10.30
668,Sunset Ale,Two Birds Brewing,American Amber / Red Ale,4.60
669,Cloudy Amber Ale,Okanagan Spring Brewery,American Amber / Red Ale,5.00
670,Nut Red Ale,Fort George Brewery + Public House,American Amber / Red Ale,5.90
671,Dead Cat,Beer Here,American Amber / Red Ale,4.70
672,Scorpion Amber,Mudshark Brewing Co. .,American Amber / Red Ale,5.50
673,Redhead Ale,Sprecher Brewing Company,American Amber / Red Ale,6.00
674,Boundary Bay Amber Ale,Boundary Bay Brewery & Bistro,American Amber / Red Ale,
675,Briarpatch Amber Ale,Battered Boar Brewing Company,American Amber / Red Ale,7.00
676,Red Velvet,Eagle Rock Brewery,American Amber / Red Ale,10.80
677,Going ( Coco ) Nuts,Four Sons Brewing,American Amber / Red Ale,5.20
678,Conductor,The Actual Brewing Co. .,American Amber / Red Ale,8.60
679,Red Hill Red Ale,Tustin Brewing Company,American Amber / Red Ale,7.30
680,Ramblin ' Reck Amber Ale,Chicago Brewing Company,American Amber / Red Ale,4.50
681,Buttface Amber Ale,Ram Restaurant & Brewery,American Amber / Red Ale,5.80
682,Jackalope,Odd Side Ales,American Amber / Red Ale,5.25
683,100 Mile Ale,Ontario Beer Company,American Amber / Red Ale,5.40
684,Kawaba Sunrise,Denen Plaza Kawaba Brewery,American Amber / Red Ale,5.00
685,Hop Bet Red Ale,Pair O ' Dice Brewing Company,American Amber / Red Ale,
686,Ruddy Radish,Weeping Radish Eco Farm & Brewery,American Amber / Red Ale,6.40
687,False Cape Amber Ale,Back Bay Brewing Co. .,American Amber / Red Ale,6.00
688,Gypsy Red,Crooked Ladder Brewing Company,American Amber / Red Ale,5.00
689,Bugsy 's Fire Brush,Infamous Brewing Company,American Amber / Red Ale,5.50
690,Dia De Los Muertos Death Becomes You Amber Ale,Cerveceria Mexicana S.A. De C.V.,American Amber / Red Ale,5.50
691,Redbird Ale,DESTIHL Brewery,American Amber / Red Ale,5.30
692,All Saints Crimson Halo,All Saints Brewing Company,American Amber / Red Ale,5.30
693,Barrio Rojo,Barrio Brewing Company,American Amber / Red Ale,5.70
694,The Kenyan [ v. 2 ],Ruhstaller,American Amber / Red Ale,6.20
695,Diver Down,Brew Hub,American Amber / Red Ale,8.00
696,BJ 's Imperial Red Ale,BJ 's Restaurant & Brewhouse,American Amber / Red Ale,9.00
697,Loki Red Ale,Fearless Brewing Company,American Amber / Red Ale,7.70
698,Truly Honest Ale,Roy Pitz Brewing Company,American Amber / Red Ale,6.00
699,Invasion,Black Market Brewing Co. .,American Amber / Red Ale,9.90
700,AmbrÃ © e,Les 3 Brasseurs Vieux-MontrÃ © al,American Amber / Red Ale,6.20
701,Devil 's Envy,Circle Brewing Company,American Amber / Red Ale,4.80
702,The Red # 7,The Seven Barrel Brewery,American Amber / Red Ale,5.00
703,Deuce,Rhinegeist Brewery,American Amber / Red Ale,7.50
704,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20
705,Ausable Wulff Red Ale,Great Adirondack Steak And Seafood Co. .,American Amber / Red Ale,5.20
706,Big Caboose Red Ale,Fernie Brewing Co. .,American Amber / Red Ale,5.00
707,Mysterious Amber Ale,Roosterfish Brewing Co. .,American Amber / Red Ale,5.40
708,TBonz Cooper River Red Ale,New South Brewing Co. .,American Amber / Red Ale,
709,Old Morgantown Amber,Morgantown Brewing Company,American Amber / Red Ale,5.80
710,Bell In Hand Ale,Boston Beer Company ( Samuel Adams ),American Amber / Red Ale,
711,Maiden Ale,Brewboys,American Amber / Red Ale,4.90
712,18 Karat Ale,Barkerville Brewing Co. .,American Amber / Red Ale,4.90
713,Stepchild Red,Hop Valley Brewing Company,American Amber / Red Ale,6.10
714,Green Man Ale,Wit 's End Brewing Company,American Amber / Red Ale,6.30
715,Copperline Ale,Backwoods Brewing Company,American Amber / Red Ale,5.50
716,Faction Red,Faction Brewing,American Amber / Red Ale,5.60
717,BantamWeight Ale,BlueTarp Brewing Co. .,American Amber / Red Ale,4.50
718,Red 's Roja,Four Corners Brewing Company,American Amber / Red Ale,6.20
719,Redneck Riviera Red,Voodoo Brewing Company,American Amber / Red Ale,8.20
720,Fat-Ten-Er # 14,New England Brewing Co. .,American Amber / Red Ale,6.50
721,Stoke Amber,McCashin 's Brewery,American Amber / Red Ale,4.50
722,Rocketman Red,Fat Head 's Brewery & Saloon,American Amber / Red Ale,5.50
723,Sheltowee 502 Amber Ale,Bluegrass Brewing Co. - East St. Matthew 's,American Amber / Red Ale,5.00
724,Phobos Extra Red Ale,Ecliptic Brewing,American Amber / Red Ale,5.20
725,Market Cross Red,Market Cross Pub & Brewery,American Amber / Red Ale,
726,Photon Imperial Crimson,Firefly Hollow Brewing Co. .,American Amber / Red Ale,8.90
727,Evenfall,Temperance Beer Co. .,American Amber / Red Ale,8.00
728,Trouble Brewing Amber Ale,World Brews,American Amber / Red Ale,4.70
729,Riptide Red Ale,Beach Chalet Brewery and Restaurant,American Amber / Red Ale,5.60
730,Wind Blown Amber Ale,Naked Dove Brewing Company,American Amber / Red Ale,5.00
731,Red Scare,Revolution Brewing Company,American Amber / Red Ale,7.10
732,Saint Gleason Imperial Red Ale,Abita Brewing Co. .,American Amber / Red Ale,
733,Royal Oak Red,Royal Oak Brewery,American Amber / Red Ale,5.50
734,Red Rock Ale,Triple Rock Brewery & Alehouse,American Amber / Red Ale,6.00
735,Rich Mahogany,Altamont Beer Works,American Amber / Red Ale,6.00
736,North 45 Amber Ale,Petoskey Brewing Company,American Amber / Red Ale,5.80
737,Freetail Original,Freetail Brewing Company,American Amber / Red Ale,6.80
738,St-Ambroise Rousse,McAuslan Brewing,American Amber / Red Ale,5.00
739,La Rousse,Brasserie Distillerie Du Mont Blanc,American Amber / Red Ale,6.50
740,Blimp,Clown Shoes,American Amber / Red Ale,11.00
741,Better Off Red,Vintage Brewing Company,American Amber / Red Ale,6.70
742,Royal Blood,Council Brewing Company,American Amber / Red Ale,8.10
743,L'AmbrÃ © e,Les 3 Brasseurs,American Amber / Red Ale,
744,Mountain Ale,Dick 's Brewing Company,American Amber / Red Ale,5.00
745,Mandarin Orange Amber Ale,Dead Frog Brewing,American Amber / Red Ale,5.00
746,Metolius River Rusty Spinner Amber,World Brews,American Amber / Red Ale,5.10
747,Red Barchetta,Green Man Brewery,American Amber / Red Ale,7.10
748,Isotopes Slammin ' Amber,Sierra Blanca Brewing Company ( Rio Grande ),American Amber / Red Ale,
749,Drop Dead Red,Klamath Basin Brewing Co. - The Creamery Brew Pub And Grill,American Amber / Red Ale,5.90
750,Fire Ant Funeral,Texas Ale Project,American Amber / Red Ale,6.00
751,2 Gingers Barrel Aged Libertine,Fulton Beer,American Amber / Red Ale,
752,Red Sea Of Cacao,Big Island Brewhaus & Tako Taco Taqueria,American Amber / Red Ale,9.00
753,Sequoia,Thornbridge Brewery,American Amber / Red Ale,4.50
754,Railway City Iron Spike - Amber Ale,Railway City Brewing Company,American Amber / Red Ale,4.60
755,Boa 's Bind Amber Ale,Sail and Anchor Pub Brewery,American Amber / Red Ale,5.00
756,Revered Red,Wachusett Brewing Company,American Amber / Red Ale,5.00
757,Old Beluga,Pinthouse Pizza Craft Brewpub,American Amber / Red Ale,5.80
758,Rincon Red,Santa Barbara Brewing Company,American Amber / Red Ale,
759,Mosquito Red,Great Black Swamp Brewing Co. .,American Amber / Red Ale,5.00
760,Thursday 's Red Ale,Septem Microbrewery,American Amber / Red Ale,4.50
761,Yola _ ™ s Artisan Ale,CIB Brewery & BBQ,American Amber / Red Ale,7.00
762,Cascade Amber Ale,Phantom Canyon Brewing Company,American Amber / Red Ale,
763,Boss Lady Rustic Red,Four Corners Brewing Company,American Amber / Red Ale,
764,Fin De SiÃ ¨ cle,L'AmÃ ¨ re _ Boire,American Amber / Red Ale,6.00
765,Infra Red,Hardknott Brewery,American Amber / Red Ale,6.50
766,Witch City Red,Boston Beer Works - Canal Street,American Amber / Red Ale,
767,Tuscarora Red,Barley and Hops Grill & Microbrewery,American Amber / Red Ale,5.20
768,Storm Cloudy Ale,Mildura Theatre Brewery Pty Ltd,American Amber / Red Ale,4.50
769,Rockets Red Ale,Liberty Steakhouse & Brewery,American Amber / Red Ale,
770,Rum Runner Red Ale,Persephone Brewing,American Amber / Red Ale,5.00
771,Rose City Red,Alameda Brewhouse,American Amber / Red Ale,6.00
772,Galactic Silk Ale,Galaxy Brewing Company,American Amber / Red Ale,6.40
773,Barrel Aged Moustache Ride Red,Flat 12 Bierwerks,American Amber / Red Ale,6.10
774,Double Take Amber Ale,World Brews,American Amber / Red Ale,4.60
775,Olde Peninsula Sunset Red,Olde Peninsula Brewpub & Restaurant,American Amber / Red Ale,5.10
776,Dragonmead Corktown Red,Dragonmead Microbrewery,American Amber / Red Ale,5.70
777,Mutiny Red Ale,Bowen Island Brewing Co. Ltd. .,American Amber / Red Ale,6.00
778,Hound 's Tooth Amber,Silver Moon Brewing,American Amber / Red Ale,5.50
779,Pilot Batch # 115 Red IPA,Captain Lawrence Brewing Co. .,American Amber / Red Ale,4.40
780,Loco Imperial Red,Iron Horse Brewery,American Amber / Red Ale,6.50
781,Trail Ridge Red,Grand Lake Brewing Company,American Amber / Red Ale,7.50
782,Broken Dial,Harviestoun Brewery Ltd. .,American Amber / Red Ale,5.00
783,Fat Cat Red Ale,Beer Here,American Amber / Red Ale,4.50
784,Ambler,Phantom Carriage,American Amber / Red Ale,4.70
785,Rock Island Red,River City Brewing Co. .,American Amber / Red Ale,7.80
786,Rowdy Dick Amber,Engine House No. 9,American Amber / Red Ale,
787,2011 Reserve Amber Ale,Endeavour Beverages,American Amber / Red Ale,6.20
788,Highland Bourbon Barrel Aged Gaelic Ale,Highland Brewing,American Amber / Red Ale,5.20
789,Pack Dog Peanut Butter Ale,Marley 's Brewery And Grille,American Amber / Red Ale,5.80
790,Rapture,Magic Rock Brewing,American Amber / Red Ale,6.30
791,Fall Ale,Yazoo Brewing Company,American Amber / Red Ale,4.60
792,Anacortes Amber,Anacortes Brewery & Rockfish Grill,American Amber / Red Ale,4.50
793,Gr ` ale,The Lucky Monk,American Amber / Red Ale,5.00
794,Water Street Amber,Water Street Brewery,American Amber / Red Ale,5.50
795,Amber Waves,21st Amendment Brewery,American Amber / Red Ale,
796,Great Western Original 16 Canadian Copper Ale,Great Western Brewing,American Amber / Red Ale,5.40
797,Southern Hospitalitea,The Unknown Brewing Co. .,American Amber / Red Ale,5.20
798,Tree Hugger Organic Amber,Asher Brewing Company,American Amber / Red Ale,5.50
799,California Love,Smog City Brewing,American Amber / Red Ale,8.50
800,Railhead Red,Beaver Street Brewery & Whistle Stop Cafe,American Amber / Red Ale,5.20
801,Sledhead Red,Kennebec River Brewery,American Amber / Red Ale,5.20
802,Golden Nugget,The Defiant Brewing Company,American Amber / Red Ale,5.20
803,Channel Marker Red Ale,3 Daughters Brewing,American Amber / Red Ale,5.90
804,Double Dirty Hippie,Kern River Brewing Company,American Amber / Red Ale,10.00
805,Nathan 's 13 Minute Amber,The Wrecking Bar Brewpub,American Amber / Red Ale,7.40
806,Dark Red IPA,Six String Brewing Company,American Amber / Red Ale,6.60
807,AMPLIFIED Amber Ale,Great Rhythm Brewing Company,American Amber / Red Ale,5.00
808,Alpha,Mill House Brewing Company,American Amber / Red Ale,5.20
809,Alpine Glow Red Ale,Krogh 's Restaurant And Brewpub,American Amber / Red Ale,4.50
810,38 Special,Big Dog 's Draft House,American Amber / Red Ale,5.60
811,Dempsey 's Red Rooster Ale,Dempsey 's Restaurant And Brewery,American Amber / Red Ale,6.20
812,Pecan Piewhole,Right Brain Brewery,American Amber / Red Ale,6.30
813,Red Spot,Jupiter,American Amber / Red Ale,6.60
814,Hop Donkey,Auburn Alehouse Brewery & Restaurant,American Amber / Red Ale,8.50
815,Blind Date,Peg 's Cantina & Brew Pub,American Amber / Red Ale,
816,Pinata Protest,Freetail Brewing Company,American Amber / Red Ale,6.00
817,Riverside Red Ale,Intuition Ale Works,American Amber / Red Ale,7.00
818,Misty Valley Reclaimed Rye,Creature Comforts,American Amber / Red Ale,5.50
819,Red Jacket Ale,The Cannon Brewpub,American Amber / Red Ale,
820,Cwtch,Tiny Rebel Brewing Co. .,American Amber / Red Ale,4.60
821,Expedition Amber,Harmon Restaurant & Brewery,American Amber / Red Ale,
822,Cutt 's Ale,7 Seas Brewery and Taproom,American Amber / Red Ale,6.40
823,Mississippi Red,StormBreaker Brewing,American Amber / Red Ale,5.80
824,Atlas Amber Ale,Big Time Brewery & Alehouse,American Amber / Red Ale,
825,Big Mama Red,Austin Beer Garden Brewing Co. .,American Amber / Red Ale,7.90
826,Suzanne Marceau,Microbrasserie de l'ile d'OrlÃ © ans,American Amber / Red Ale,6.00
827,La Frousse,Microbrasserie du LiÃ ¨ vre,American Amber / Red Ale,5.00
828,Fort Pitt Ale,Duquesne Bottling Company,American Amber / Red Ale,
829,Maple Red Ale,Bent Hill Brewery,American Amber / Red Ale,4.80
830,Brick Row Red,Crossroads Brewing Company,American Amber / Red Ale,5.00
831,That Red Ale,Bullfrog Brewery,American Amber / Red Ale,6.00
832,Harvest Ale,Picaroons Brewing Co. .,American Amber / Red Ale,5.00
833,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20
834,Road-Kill Red,Minocqua Brewing Company,American Amber / Red Ale,
835,Workingman 's Red,McMenamins,American Amber / Red Ale,
836,Conundrum Red Ale,Aspen Brewing Co. .,American Amber / Red Ale,7.00
837,Serpensblod,HammerHeart Brewing Company,American Amber / Red Ale,8.30
838,Obed 's Pride Amber Ale,Obed & Isaac _ ™ s Microbrewery & Eatery,American Amber / Red Ale,7.40
839,Mettleman Copper Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,5.50
840,Forty Four American Amber,Riverside Brewing Company,American Amber / Red Ale,6.50
841,Baphomet,Snoqualmie Falls Brewing Company & Taproom,American Amber / Red Ale,8.30
842,Erik The Red,The Grumpy Troll Restaurant and Brewery,American Amber / Red Ale,6.50
843,Paradigm Shift,Williams Brothers Brewing Company,American Amber / Red Ale,6.20
844,Slaughterhouse Red India Ale,Payette Brewing,American Amber / Red Ale,7.50
845,Bonne Aventure Rousse,Microbrasserie Pit Caribou,American Amber / Red Ale,5.00
846,NW Red,Stoup Brewing,American Amber / Red Ale,5.50
847,North Star Amber,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.00
848,Bricklayer,Tradesman Brewing Co. .,American Amber / Red Ale,6.70
849,Serenity Amber Ale,Crabtree Brewing Company,American Amber / Red Ale,6.10
850,Red Alert Ale,Pumphouse Brewery,American Amber / Red Ale,5.60
851,Monserrate Roja,Bogota Beer Company,American Amber / Red Ale,5.00
852,Razorback,Snowy Mountains Brewery,American Amber / Red Ale,4.80
853,Baja Red,Baja Brewing Company,American Amber / Red Ale,6.00
854,Temptation Red Ale,Boxing Rock Brewing Co. .,American Amber / Red Ale,6.00
855,County Street Amber,Original Gravity Brewing Company,American Amber / Red Ale,5.50
856,Raked Over Red,Rip Current Brewing,American Amber / Red Ale,7.00
857,17th Street Amber Ale,Big Muddy Brewing,American Amber / Red Ale,5.60
858,Drake 's Red Eye,Drake 's Brewing Co. .,American Amber / Red Ale,6.50
859,Flower Child,5 Stones Craft Brewing Co. .,American Amber / Red Ale,6.83
860,Lion 's Ale,Big Elm Brewing,American Amber / Red Ale,5.30
861,E Street Ale,Bold City Brewery,American Amber / Red Ale,
862,Red Ale Priprioca,Cervejaria AmazÃ ´ nia Ltda .,American Amber / Red Ale,6.00
863,Budweiser Crown,Labatt Brewing Company Ltd. .,American Amber / Red Ale,6.00
864,GWARblood,Strangeways Brewing,American Amber / Red Ale,5.50
865,Abby 's Amber Ale,Double Barley Brewing,American Amber / Red Ale,6.00
866,Indian River Red,Charlie & Jake 's Brewery & Grille,American Amber / Red Ale,
867,Hoppy Joe,Lervig Aktiebryggeri AS,American Amber / Red Ale,4.70
868,Joint Effort,Redhook Ale Brewery,American Amber / Red Ale,5.60
869,AmbrÃ © e AmÃ ¨ re,Microbrasserie La Chouape,American Amber / Red Ale,5.30
870,Chelsea Sunset Red,Chelsea Brewing Company,American Amber / Red Ale,5.00
871,Rockpile,Fernie Brewing Co. .,American Amber / Red Ale,7.20
872,Country House Red Ale,Argus Brewery,American Amber / Red Ale,4.14
873,Regner Red Ale,Lithia Brewing Company,American Amber / Red Ale,6.30
874,Ryane 's Red,Exit 6 Brewery,American Amber / Red Ale,6.80
875,Old Fashioned,Wicked Weed Brewing,American Amber / Red Ale,5.75
876,Exxpedition Imperial Red Ale,Drake 's Brewing Co. .,American Amber / Red Ale,8.00
877,Old Oak Amber Ale,Carver Brewing Co. .,American Amber / Red Ale,
878,Rust Belt,Sprague Farm & Brew Works,American Amber / Red Ale,
879,Barefoot Brew,Maui Brewing Co. .,American Amber / Red Ale,5.50
880,North West Ale,Spinnakers Gastro Brewpub & Guesthouse,American Amber / Red Ale,6.20
881,High Tor,Buxton Brewery,American Amber / Red Ale,6.30
882,Cloudcap Amber Ale,Ice Axe Grill / Mt. Hood Brewing Co. .,American Amber / Red Ale,5.00
883,BJ 's Oasis,BJ 's Restaurant & Brewhouse,American Amber / Red Ale,4.70
884,Red Cap,Kulshan Brewing Company,American Amber / Red Ale,5.50
885,Market Street Wrought Iron Red,Market Street Brewing Co. and Restaurant,American Amber / Red Ale,
886,Ginger,Black Bottle Brewery,American Amber / Red Ale,6.90
887,Roo 's Red Ale,903 Brewers,American Amber / Red Ale,6.90
888,Namber Ale,Nano Brew Cleveland,American Amber / Red Ale,5.50
889,Amber Ella,Eight Degrees Brewing,American Amber / Red Ale,6.80
890,Ballistic Brewing Co. - Gorgon Red Ale,Indian Wells Brewing Company,American Amber / Red Ale,5.50
891,Thunder Canyon Deep Canyon Amber Ale,Thunder Canyon Brewery,American Amber / Red Ale,4.80
892,Habanero Smoked Ale,Alligator Brewing Company,American Amber / Red Ale,5.00
893,Raging Rhino Red,McKenzie Brewing Company,American Amber / Red Ale,5.40
894,Schoolhouse Honey Amber Ale,Latitude 42 Brewing Company,American Amber / Red Ale,5.00
895,Barrel Harbor Red Ale,Barrel Harbor Brewing,American Amber / Red Ale,5.20
896,Eve Amber Ale,Lonerider Brewing Company,American Amber / Red Ale,4.20
897,Raccoon Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.90
898,Julesnadder,NÃ ¸ gne _ - Det KompromisslÃ ¸ se Bryggeri A/S,American Amber / Red Ale,4.50
899,Cane Fire Red,Kauai Island Brewery & Grill,American Amber / Red Ale,6.30
900,Brutopian Valhalla,Brutopia Brewery,American Amber / Red Ale,5.50
901,Heavy Hitter,Yalobusha Brewing Company,American Amber / Red Ale,8.00
902,Elektron,The Actual Brewing Co. .,American Amber / Red Ale,6.30
903,North Coast Red Ale,Seaside Brewing Company,American Amber / Red Ale,6.70
904,Buoy NW Red Ale,Buoy Beer Company,American Amber / Red Ale,6.70
905,Red Roadster,Silver Peak Restaurant & Brewery,American Amber / Red Ale,8.00
906,Big Horn Buttface Amber Ale,C.B. & Potts,American Amber / Red Ale,
907,American Bold Ale,Vindication Brewing Co. .,American Amber / Red Ale,7.20
908,Stone Hammer Maple Red Ale,F&M Brewery,American Amber / Red Ale,5.00
909,Otto Amber,Empire Brewing Company,American Amber / Red Ale,
910,High West Barrel Aged Libertine,Fulton Beer,American Amber / Red Ale,8.50
911,Red Carpet Ale,SoCal Beer Company,American Amber / Red Ale,5.90
912,Standing Stone Amber Ale,Standing Stone Brewing Company,American Amber / Red Ale,6.00
913,Joker Amber,Northwest Brewing Company,American Amber / Red Ale,6.00
914,Red Drum,Cask & Larder,American Amber / Red Ale,5.40
915,Native Son,Lost Rhino Brewing Company,American Amber / Red Ale,6.70
916,Red Giant Ale,Big Island Brewhaus & Tako Taco Taqueria,American Amber / Red Ale,6.50
917,Knuckleball,Happy Valley Brewing Company,American Amber / Red Ale,5.10
918,Fantapants,Feral Brewing Co. .,American Amber / Red Ale,7.40
919,Wolf Rock,Sharp 's Brewery,American Amber / Red Ale,4.80
920,Remington Red,Bricktown Brewery,American Amber / Red Ale,4.00
921,AmericAle,South County Brewing Co. .,American Amber / Red Ale,6.30
922,Whistle Stop Amber,Johansson 's Dining House,American Amber / Red Ale,5.30
923,Thoroughbred Red,Hops Grillhouse & Brewery,American Amber / Red Ale,5.10
924,5:02 Amber,Wichita Brewing Co. & Pizzeria West,American Amber / Red Ale,5.82
925,Creeper Trail Amber Ale,Wolf Hills Brewing Company,American Amber / Red Ale,4.80
926,Agate Pass Amber,Hood Canal Brewing,American Amber / Red Ale,
927,Amber 's Hot Friend,Skookum Brewery,American Amber / Red Ale,
928,Old Detroit Amber Ale,Frankenmuth Brewery,American Amber / Red Ale,5.60
929,2010 Reserve Amber Ale,Endeavour Beverages,American Amber / Red Ale,5.20
930,Table 42 Red,Hollister Brewing Co. .,American Amber / Red Ale,5.40
931,4 Brothers Sibling Rivalry,Sand Creek Brewing Company,American Amber / Red Ale,4.70
932,Rise Of The Phoenix,Minneapolis Town Hall Brewery,American Amber / Red Ale,
933,Red Water,Crow Peak Brewing,American Amber / Red Ale,6.50
934,Penn 's Curse Amber,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.10
935,Anniversary Ale 2014,Minneapolis Town Hall Brewery,American Amber / Red Ale,7.30
936,Mosh Pit,Acoustic Ales Brewing Experiment,American Amber / Red Ale,6.66
937,Crum,Stony Creek Brewery,American Amber / Red Ale,6.20
938,MÃ ³ ri,_ lvisholt BrugghÃºs,American Amber / Red Ale,5.50
939,Fat Tire,New Belgium Brewing,American Amber / Red Ale,5.20
940,BdbBi ( G ) Bodyibu,Birra Del Borgo,American Amber / Red Ale,7.10
941,Ale Mohnaty Shmel,Moskovskaya Pivovarennaya Kompaniya,American Amber / Red Ale,5.00
942,Columbus Red,Minneapolis Town Hall Brewery,American Amber / Red Ale,5.50
943,Dogcatcher,CODA Brewing Co. .,American Amber / Red Ale,5.50
944,Naughty Redhead Imperial Red Ale,Sick N Twisted Brewing Co. .,American Amber / Red Ale,8.00
945,Blushing Beaver,Belching Beaver Brewery,American Amber / Red Ale,6.00
946,Crimson Bombshell,Indiana City Brewing Company,American Amber / Red Ale,8.90
947,Yard House Amber Ale,Firestone Walker Brewing Co. .,American Amber / Red Ale,
948,Redside India Red Ale,GoodLife Brewing Company & Bier Hall,American Amber / Red Ale,6.00
949,Comet,Wicked Weed Brewing,American Amber / Red Ale,8.50
950,Tasting Room Series : Red IPA,Boulevard Brewing Co. .,American Amber / Red Ale,5.80
951,Reggae Red,SLO Brewing Co. .,American Amber / Red Ale,5.00
952,Revolution,Heritage Brewing Co. .,American Amber / Red Ale,5.60
953,Ragged Mountain Red Ale,Flying Goose Brew Pub & Grille,American Amber / Red Ale,5.20
